School_code,School_name,Local_authority,Consortium,Rating,School Name,LA Code,Local Authority,Sector,Governance - see notes,WM Code,Welsh Medium Type - see notes,School Type,Religious Character,Address 1,Address 2,Address 3,Address 4,Postcode,Phone Number,Pupils - see notes
6804059,Caerleon Comprehensive School,Newport / Casnewydd,EAS / GCA,Amber/Oren,Caerleon Comprehensive School,680.0,Newport,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Cold Bath Road,Caerleon,Newport,,NP18 1NF,01633 420106,1513.0
6804060,Ysgol Gyfun Gwent Is Coed,Newport / Casnewydd,EAS / GCA,Yellow/Melyn,Ysgol Gyfun Gwent Is Coed,680.0,Newport,Secondary,Community,WM,Welsh medium,Secondary (ages 11-19),---,Duffryn Way,Duffryn,Newport,,NP10 8BX,01633 851614,351.0
6804602,St Joseph's RC High School,Newport / Casnewydd,EAS / GCA,Green/Gwyrdd,St. Joseph's R.C. High School,680.0,Newport,Secondary,Voluntary aided,EM,English medium,Secondary (ages 11-19),Roman Catholic,Pencarn Way,Tredegar Park,Newport,,NP10 8XH,01633 653110,1414.0
6814039,CARDIFF HIGH SCHOOL,Cardiff / Caerdydd,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,Cardiff High School,681.0,Cardiff,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Llandennis Road,Cyncoed,Cardiff,,CF23 6WG,02920 757741,1663.0
6814041,Willows High School,Cardiff / Caerdydd,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,Willows High School,681.0,Cardiff,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Willows Avenue,Tremorfa,Cardiff,,CF24 2YE,02920 414243,665.0
6814042,Fitzalan High School,Cardiff / Caerdydd,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,Fitzalan High School,681.0,Cardiff,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Lawrenny Avenue,Leckwith,Cardiff,,CF11 8XB,02920 232850,1742.0
6814049,Cantonian High School,Cardiff / Caerdydd,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,Cantonian High School,681.0,Cardiff,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Fairwater Road,Fairwater,Cardiff,,CF5 3JR,02920 415250,708.0
6814051,Llanishen High School,Cardiff / Caerdydd,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,Llanishen High School,681.0,Cardiff,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Heol Hir,Llanishen,Cardiff,,CF14 5YL,02920 680800,1601.0
6814054,Cathays High School,Cardiff / Caerdydd,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,Cathays High School,681.0,Cardiff,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Crown Way,New Zealand Road,Cathays,Cardiff,CF14 3XG,02920 544400,917.0
6814070,Radyr Comprehensive School,Cardiff / Caerdydd,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,Radyr Comprehensive School,681.0,Cardiff,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Heol Isaf,Radyr,Cardiff,,CF15 8XG,02920 845100,1309.0
6814071,Ysgol Gyfun Gymraeg Glantaf,Cardiff / Caerdydd,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,Ysgol Gyfun Gymraeg Glantaf,681.0,Cardiff,Secondary,Community,WM,Welsh medium,Secondary (ages 11-19),---,Heol Y Bont,Gogledd Llandaf,Caerdydd,,CF14 2JL,02920 333090,1272.0
6814072,Ysgol Gyfun Gymraeg Plasmawr,Cardiff / Caerdydd,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,Ysgol Gyfun Gymraeg Plasmawr,681.0,Cardiff,Secondary,Community,WM,Welsh medium,Secondary (ages 11-19),---,Pentrebane Road,Tyllgoed,Caerdydd,,CF5 3PZ,02920 405499,1136.0
6814074,Ysgol Gyfun Gymraeg Bro Edern,Cardiff / Caerdydd,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,Ysgol Gyfun Gymraeg Bro Edern,681.0,Cardiff,Secondary,Community,WM,Welsh medium,Secondary (ages 11-19),---,Llanedeyrn Road,Pen-y-lan,Caerdydd,,CF23 9DT,02920 561372,801.0
6814075,Cardiff West Community High School,Cardiff / Caerdydd,Central South Consortium/Consortiwm Canolbarth y De,Red/Coch,Cardiff West Community High School,681.0,Cardiff,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Penally Road,,Cardiff,,CF5 5XP,02920 672700,779.0
6814076,Eastern High,Cardiff / Caerdydd,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,Eastern High,681.0,Cardiff,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Eastern Community Campus,Trowbridge Road,,Cardiff,CF3 3XG,02920 792751,968.0
6814600,St. Illtyd's Catholic High School,Cardiff / Caerdydd,Central South Consortium/Consortiwm Canolbarth y De,Amber/Oren,St. Illtyd's Catholic High School,681.0,Cardiff,Secondary,Voluntary aided,EM,English medium,Secondary (ages 11-16),Roman Catholic,Newport Road,Rumney,Cardiff,,CF3 1XQ,02920 778174,902.0
6814607,Mary Immaculate High School,Cardiff / Caerdydd,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,Mary Immaculate High School,681.0,Cardiff,Secondary,Voluntary aided,EM,English medium,Secondary (ages 11-16),Roman Catholic,Caerau Lane,Wenvoe,Cardiff,,CF5 5QZ,02920 593465,793.0
6814608,Bishop of Llandaff Church in Wales High School,Cardiff / Caerdydd,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,Bishop Of Llandaff Church In Wales High School,681.0,Cardiff,Secondary,Voluntary aided,EM,English medium,Secondary (ages 11-19),Church in Wales,Rookwood Close,Llandaff,Cardiff,,CF5 2NR,02920 562485,1240.0
6814609,St Teilo's C-in-W High School,Cardiff / Caerdydd,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,St Teilo's C-In-W High School,681.0,Cardiff,Secondary,Voluntary aided,EM,English medium,Secondary (ages 11-19),Church in Wales,Circle Way East,Cardiff,,,CF23 9PD,02920 547180,1414.0
6814611,CORPUS CHRISTI CATHOLIC HIGH SCHOOL,Cardiff / Caerdydd,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,Corpus Christi Catholic High School,681.0,Cardiff,Secondary,Voluntary aided,EM,English medium,Secondary (ages 11-16),Roman Catholic,Ty Draw Road,Lisvane,Cardiff,,CF23 6XL,02920 761893,1073.0
6815403,Whitchurch High School,Cardiff / Caerdydd,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,Whitchurch High School,681.0,Cardiff,Secondary,Foundation,EM,English medium,Secondary (ages 11-19),---,Penlline Road,Whitchurch,Cardiff,,CF14 2XJ,02920 629700,2373.0
